ContractId,ContractType,ContractTypeId,playerId,position,war_prev,war_proj,playerName,UPURL,Bats,Throws,age,team_prev,teamoverride,qo,qo_accepted,med_years,med_aav,servicetime,team_new,fullvalue,contract_years,ContractTotal,YearsTotal,SigningTeamId,aav
4011.0,Free Agent,2.0,19755,DH/SP,8.910212516784668,,Shohei Ohtani,/players/shohei-ohtani/19755/stats?position=DH,L,R,29,LAA,LAA,20325000.0,,10.0,45000000.0,6.000,LAD,10.0,10.0,700000000.0,10.0,22.0,46078769.0
3982.0,Free Agent,2.0,12768,SP,5.3657965660095215,,Sonny Gray,/players/sonny-gray/12768/stats?position=P,R,R,34,MIN,MIN,20325000.0,,3.0,21000000.0,10.061,STL,3.0,3.0,75000000.0,3.0,28.0,24949117.0
4179.0,Free Agent,2.0,15998,CF/1B,4.44536828994751,,Cody Bellinger,/players/cody-bellinger/15998/stats?position=1B/OF,L,L,28,CHC,CHC,20325000.0,,6.0,24000000.0,6.160,CHC,3.0,3.0,80000000.0,3.0,17.0,26666666.66666667
4212.0,Free Agent,2.0,16511,SP,4.254640102386475,,Jordan Montgomery,/players/jordan-montgomery/16511/stats?position=P,L,L,31,TEX,TEX,,,5.0,21000000.0,6.153,ARI,2.0,2.0,47500000.0,2.0,15.0,23750000.0
4207.0,Free Agent,2.0,13543,SP,4.156758785247803,,Blake Snell,/players/blake-snell/13543/stats?position=P,L,L,31,SDP,SDP,20325000.0,,5.0,25000000.0,7.072,SFG,2.0,2.0,62000000.0,2.0,30.0,29698347.0
3975.0,Free Agent,2.0,16149,SP,3.86611270904541,,Aaron Nola,/players/aaron-nola/16149/stats?position=P,R,R,31,PHI,PHI,20325000.0,,6.0,25000000.0,8.076,PHI,7.0,7.0,172000003.0,7.0,26.0,24571429.0
4006.0,Free Agent,2.0,13621,3B/1B,3.2386131286621094,,Jeimer Candelario,/players/jeimer-candelario/13621/stats?position=3B,S,R,30,CHC,CHC,,,3.0,12000000.0,6.038,CIN,3.0,3.0,45000000.0,3.0,18.0,15000000.0
4189.0,Free Agent,2.0,16505,3B,2.9945452213287354,,Matt Chapman,/players/matt-chapman/16505/stats?position=3B,R,R,31,TOR,TOR,20325000.0,,4.0,20000000.0,6.109,SFG,3.0,3.0,54000000.0,3.0,30.0,20000000.0
4005.0,Free Agent,2.0,13164,SP,2.9713873863220215,,Eduardo Rodriguez,/players/eduardo-rodriguez/13164/stats?position=P,L,L,31,DET,DET,,,4.0,19000000.0,8.070,ARI,4.0,4.0,80000000.0,4.0,15.0,20000000.0
4015.0,Free Agent,2.0,12447,SP,2.8819541931152344,,Seth Lugo,/players/seth-lugo/12447/stats?position=P,R,R,34,SDP,SDP,,,2.0,13000000.0,7.082,KCR,3.0,3.0,45000000.0,3.0,7.0,15000000.0
4047.0,Free Agent,2.0,11038,CF,2.806302070617676,,Kevin Kiermaier,/players/kevin-kiermaier/11038/stats?position=OF,L,R,34,TOR,TOR,,,2.0,10000000.0,9.131,TOR,1.0,1.0,10500000.0,1.0,14.0,10500000.0
4080.0,Free Agent,2.0,13431,SP,2.664431095123291,,Marcus Stroman,/players/marcus-stroman/13431/stats?position=P,R,R,33,CHC,CHC,,,3.0,22000000.0,9.026,NYY,2.0,2.0,37000000.0,2.0,9.0,18500000.0
4030.0,Free Agent,2.0,14078,SP,2.6552605628967285,,Michael Wacha,/players/michael-wacha/14078/stats?position=P,R,R,32,SDP,SDP,,,3.0,13000000.0,10.062,KCR,2.0,2.0,32000000.0,2.0,7.0,16000000.0
3978.0,Free Agent,2.0,10123,SP,2.5577497482299805,,Kyle Gibson,/players/kyle-gibson/10123/stats?position=P,R,R,36,BAL,BAL,,,1.0,12000000.0,10.039,STL,1.0,1.0,13000000.0,1.0,28.0,13000000.0
4209.0,Free Agent,2.0,6184,DH,2.4255142211914062,,J.D. Martinez,/players/jd-martinez/6184/stats?position=DH/OF,R,R,36,LAD,LAD,,,1.0,12000000.0,12.036,NYM,1.0,1.0,12000000.0,1.0,25.0,8966565.0
4131.0,Free Agent,2.0,2036,SP,2.3568882942199707,,Clayton Kershaw,/players/clayton-kershaw/2036/stats?position=P,L,L,36,LAD,LAD,,,1.0,21000000.0,15.105,LAD,2.0,2.0,16000000.0,2.0,22.0,8000000.0
3983.0,Free Agent,2.0,4940,RF/LF/CF,2.254714012145996,,Jason Heyward,/players/jason-heyward/4940/stats?position=OF,L,L,34,LAD,LAD,,,1.0,10000000.0,14.000,LAD,1.0,1.0,9000000.0,1.0,22.0,9000000.0
4383.0,Free Agent,2.0,4940,RF/LF/CF,2.254714012145996,,Jason Heyward,/players/jason-heyward/4940/stats?position=OF,L,L,34,LAD,LAD,,,1.0,10000000.0,14.000,HOU,1.0,1.0,127312.0,1.0,21.0,127312.0
4253.0,Free Agent,2.0,12808,SP,2.188819169998169,,Mike Clevinger,/players/mike-clevinger/12808/stats?position=P,R,R,33,CHW,CHW,,,2.0,12000000.0,7.033,CHW,1.0,1.0,3000000.0,1.0,4.0,3000000.0
,,,10264,1B,2.164686441421509,,Brandon Belt,/players/brandon-belt/10264/stats?position=1B,L,L,36,TOR,TOR,,,1.0,9500000.0,12.128,,,,,,,
4046.0,Free Agent,2.0,15161,C,2.156179189682007,,Mitch Garver,/players/mitch-garver/15161/stats?position=C/DH,R,R,33,TEX,TEX,,,2.0,10000000.0,6.045,SEA,2.0,2.0,24000000.0,2.0,11.0,12000000.0
4204.0,Free Agent,2.0,11489,CF,1.9866915941238403,,Michael A. Taylor,/players/michael-a-taylor/11489/stats?position=OF,R,R,33,MIN,MIN,,,2.0,7000000.0,8.129,PIT,1.0,1.0,4000000.0,1.0,27.0,4000000.0
4070.0,Free Agent,2.0,13066,RF/LF,1.9446747303009033,,Teoscar Hernández,/players/teoscar-hernandez/13066/stats?position=OF,R,R,31,SEA,SEA,,,3.0,15000000.0,6.097,LAD,1.0,1.0,23500000.0,1.0,22.0,20433933.0
4033.0,Free Agent,2.0,19238,LF,1.943461537361145,,Lourdes Gurriel Jr.,/players/lourdes-gurriel-jr/19238/stats?position=OF,R,R,30,ARI,ARI,,,3.0,12000000.0,5.094,ARI,3.0,3.0,42000000.0,3.0,15.0,14000000.0
4283.0,Free Agent,2.0,2967,LF/RF,1.9064925909042358,,Tommy Pham,/players/tommy-pham/2967/stats?position=OF,R,R,36,ARI,ARI,,,1.0,8000000.0,8.107,CHW,1.0,1.0,2532258.0,1.0,4.0,2532258.0
4143.0,Free Agent,2.0,14221,RF/LF/DH,1.7925314903259277,,Jorge Soler,/players/jorge-soler/14221/stats?position=DH/OF,R,R,32,MIA,MIA,,,3.0,16000000.0,8.143,SFG,3.0,3.0,42000000.0,3.0,30.0,12142857.0
4026.0,Free Agent,2.0,17479,SP,1.7588945627212524,,Jack Flaherty,/players/jack-flaherty/17479/stats?position=P,R,R,28,BAL,BAL,,,2.0,10000000.0,6.006,DET,1.0,1.0,14000000.0,1.0,6.0,14000000.0
4095.0,Free Agent,2.0,10233,RP,1.750276803970337,,Aroldis Chapman,/players/aroldis-chapman/10233/stats?position=P,L,L,36,TEX,TEX,,,1.0,7500000.0,13.009,PIT,1.0,1.0,10500000.0,1.0,27.0,10500000.0
4092.0,Free Agent,2.0,14212,RP,1.7315956354141235,,Josh Hader,/players/josh-hader/14212/stats?position=P,L,L,30,SDP,SDP,20325000.0,,4.0,18000000.0,6.115,HOU,5.0,5.0,95000000.0,5.0,21.0,19000000.0
4208.0,Free Agent,2.0,14843,SP,1.6759967803955078,,Michael Lorenzen,/players/michael-lorenzen/14843/stats?position=P,R,R,32,PHI,PHI,,,2.0,10000000.0,8.159,TEX,1.0,1.0,4500000.0,1.0,13.0,4500000.0
4133.0,Free Agent,2.0,11442,C,1.6437797546386719,,Gary Sánchez,/players/gary-sanchez/11442/stats?position=C,R,R,31,SDP,SDP,,,1.0,5000000.0,7.050,MIL,1.0,1.0,7000000.0,1.0,23.0,7000000.0
3980.0,Free Agent,2.0,18498,SP,1.604391098022461,,Kenta Maeda,/players/kenta-maeda/18498/stats?position=P,R,R,36,MIN,MIN,,,2.0,12000000.0,8.000,DET,2.0,2.0,24000000.0,2.0,6.0,12000000.0
4122.0,Free Agent,2.0,2396,1B/DH,1.4665230512619019,,Carlos Santana,/players/carlos-santana/2396/stats?position=1B,S,R,38,MIL,MIL,,,1.0,7000000.0,13.115,MIN,1.0,1.0,5250000.0,1.0,8.0,5250000.0
4202.0,Free Agent,2.0,10950,CF/LF/RF,1.4627766609191895,,Adam Duvall,/players/adam-duvall/10950/stats?position=OF,R,R,35,BOS,BOS,,,1.0,8000000.0,7.151,ATL,1.0,1.0,3000000.0,1.0,16.0,3000000.0
4165.0,Free Agent,2.0,16162,SP,1.450810432434082,,Brandon Woodruff,/players/brandon-woodruff/16162/stats?position=P,L,R,31,MIL,MIL,,,,,5.161,MIL,2.0,2.0,17500000.0,2.0,23.0,8750000.0
3989.0,Free Agent,2.0,12730,SP,1.3911080360412598,,Nick Martinez,/players/nick-martinez/12730/stats?position=P,L,R,33,SDP,SDP,,,2.0,9000000.0,5.002,CIN,2.0,2.0,26000000.0,2.0,18.0,13000000.0
4079.0,Free Agent,2.0,13942,RP,1.3075168132781982,,Brent Suter,/players/brent-suter/13942/stats?position=P,L,L,34,COL,COL,,,1.0,4650000.0,6.161,CIN,1.0,1.0,3000000.0,1.0,18.0,3000000.0
4156.0,Free Agent,2.0,11281,2B/LF/RF,1.2975409030914307,,Whit Merrifield,/players/whit-merrifield/11281/stats?position=2B/OF,R,R,35,TOR,TOR,,,2.0,8000000.0,7.101,PHI,1.0,1.0,8000000.0,1.0,26.0,8000000.0
4362.0,Free Agent,2.0,11281,2B/LF/RF,1.2975409030914307,,Whit Merrifield,/players/whit-merrifield/11281/stats?position=2B/OF,R,R,35,TOR,TOR,,,2.0,8000000.0,7.101,ATL,1.0,1.0,278495.0,1.0,16.0,278495.0
4036.0,Free Agent,2.0,9847,DH/LF/RF,1.2897669076919556,,Andrew McCutchen,/players/andrew-mccutchen/9847/stats?position=OF,R,R,37,PIT,PIT,,,,,14.123,PIT,1.0,1.0,5000000.0,1.0,27.0,5000000.0
4193.0,Free Agent,2.0,12155,LF/RF/DH,1.2729244232177734,,Eddie Rosario,/players/eddie-rosario/12155/stats?position=OF,L,R,32,ATL,ATL,,,,,8.120,WSN,1.0,1.0,1064516.0,1.0,24.0,1064516.0
,,,14765,SP,1.2382227182388306,,Julio Urías,/players/julio-urias/14765/stats?position=P,L,L,27,LAD,LAD,,,,,6.117,,,,,,,
4190.0,MiLB,7.0,8709,SS/2B,1.2262028455734253,,Elvis Andrus,/players/elvis-andrus/8709/stats?position=SS,R,R,35,CHW,CHW,,,,,15.000,ARI,1.0,1.0,0.0,1.0,15.0,
4106.0,Free Agent,2.0,8241,RP,1.207871913909912,,David Robertson,/players/david-robertson/8241/stats?position=P,R,R,39,MIA,MIA,,,1.0,8000000.0,14.119,TEX,1.0,1.0,11500000.0,1.0,13.0,10533289.0
4345.0,Free Agent,2.0,8623,2B/1B/3B,1.1833456754684448,,Donovan Solano,/players/donovan-solano/8623/stats?position=2B,R,R,36,MIN,MIN,,,,,8.081,SDP,1.0,1.0,790323.0,1.0,29.0,790323.0
4017.0,Free Agent,2.0,13394,RP,1.182901382446289,,Dylan Floro,/players/dylan-floro/13394/stats?position=P,L,R,33,MIN,MIN,,,,,6.053,WSN,1.0,1.0,2250000.0,1.0,24.0,2250000.0
