ContractId,ContractType,ContractTypeId,playerId,position,war_prev,war_proj,playerName,UPURL,Bats,Throws,age,team_prev,teamoverride,qo,qo_accepted,med_years,med_aav,servicetime,team_new,fullvalue,contract_years,ContractTotal,YearsTotal,SigningTeamId,aav
537.0,Free Agent,2.0,13125,SP,7.473671913146973,,Gerrit Cole,/players/gerrit-cole/13125/stats?position=P,R,R,29,HOU,,17800000.0,,7.0,32000000.0,6.111,NYY,9.0,9.0,324000000.0,9.0,9.0,36000000.0
2.0,Free Agent,2.0,12861,3B,6.770179271697998,,Anthony Rendon,/players/anthony-rendon/12861/stats?position=3B,R,R,30,WSN,,17800000.0,,7.0,30000000.0,6.130,LAA,7.0,7.0,245000000.0,7.0,1.0,35000000.0
395.0,Free Agent,2.0,11368,C,5.740856170654297,,Yasmani Grandal,/players/yasmani-grandal/11368/stats?position=C,S,R,31,MIL,MIL,,,3.0,16000000.0,7.115,CHW,4.0,4.0,73000000.0,4.0,4.0,18250000.0
360.0,Free Agent,2.0,10131,SP,5.601249694824219,,Stephen Strasburg,/players/stephen-strasburg/10131/stats?position=P,R,R,31,WSN,WSN,17800000.0,,5.0,28000000.0,9.118,WSN,7.0,7.0,245000000.0,7.0,24.0,35000000.0
513.0,Free Agent,2.0,5038,3B,5.217952728271484,,Josh Donaldson,/players/josh-donaldson/5038/stats?position=3B,R,R,34,ATL,,17800000.0,,3.0,20000000.0,7.158,MIN,4.0,4.0,92000000.0,4.0,8.0,23000000.0
641.0,Free Agent,2.0,14444,SP,4.946580410003662,,Hyun Jin Ryu,/players/hyun-jin-ryu/14444/stats?position=P,R,L,33,LAD,,,,3.0,16000000.0,7.000,TOR,4.0,4.0,80000000.0,4.0,14.0,20000000.0
270.0,Free Agent,2.0,10310,SP,4.626984119415283,,Zack Wheeler,/players/zack-wheeler/10310/stats?position=P,L,R,30,NYM,,17800000.0,,4.0,18000000.0,6.098,PHI,5.0,5.0,118000000.0,5.0,26.0,23600000.0
514.0,Free Agent,2.0,6397,SP,4.296117782592773,,Jake Odorizzi,/players/jake-odorizzi/6397/stats?position=P,R,R,30,MIN,,17800000.0,1.0,3.0,15000000.0,6.042,MIN,1.0,1.0,17800000.0,1.0,8.0,17800000.0
546.0,Free Agent,2.0,9927,CF/LF,3.3607211112976074,,Brett Gardner,/players/brett-gardner/9927/stats?position=OF,L,L,36,NYY,,,,1.0,8000000.0,11.072,NYY,1.0,1.0,12500000.0,1.0,9.0,12500000.0
38.0,Free Agent,2.0,5524,SP,3.272519111633301,,Madison Bumgarner,/players/madison-bumgarner/5524/stats?position=P,R,L,30,SFG,,17800000.0,,4.0,18000000.0,9.127,ARI,5.0,5.0,85000000.0,5.0,15.0,17000000.0
222.0,Free Agent,2.0,7927,2B/3B/RF,3.0534727573394775,,Eric Sogard,/players/eric-sogard/7927/stats?position=2B,L,R,34,TBR,,,,1.0,4000000.0,7.134,MIL,1.0,1.0,4500000.0,1.0,23.0,4500000.0
519.0,Free Agent,2.0,8362,SP,2.8738250732421875,,Homer Bailey,/players/homer-bailey/8362/stats?position=P,R,R,34,OAK,,,,1.0,5000000.0,11.017,MIN,1.0,1.0,7000000.0,1.0,8.0,7000000.0
369.0,Free Agent,2.0,4229,2B/1B/DH,2.748406171798706,,Howie Kendrick,/players/howie-kendrick/4229/stats?position=2B,R,R,36,WSN,,,,1.0,7000000.0,13.091,WSN,1.0,1.0,6250000.0,1.0,24.0,6250000.0
